stage,run_id,repeat,profile,runners,intra_threads,interop_threads,pre_workers,post_workers,slots_per_runner,total_slots,cpu_cores,pin,iterations,status,result_dir,mode,batch,workers,slots,completed,wall_s,throughput_fps,equiv_fps_avg,equiv_fps_min,equiv_fps_max,equiv_fps_p95,equiv_fps_p99,completion_fps_avg,completion_fps_min,completion_fps_max,completion_fps_p95,completion_fps_p99,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms,latency_cv,latency_p99_minus_p50_ms,model_mean_ms,model_p95_ms,model_p99_ms,preprocess_mean_ms,preprocess_p95_ms,preprocess_p99_ms,postprocess_mean_ms,postprocess_p95_ms,postprocess_p99_ms,inter_completion_mean_ms,inter_completion_p95_ms,inter_completion_p99_ms
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr1_c16_pin__rep1__n90,1,end-to-end,8,1,1,2,1,1,8,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr1_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,8,90,17.331780709000668,5.192772832237693,0.5483072638921759,0.3627390520860447,0.9558211867812291,0.43171525384457393,0.37881040424500234,5.192772832237693,1.2158139751710677,226.7445156356906,1.8583983111323539,1.4305222167598914,1823.7949154666844,1862.6855540001088,1046.2207929995202,2756.8027050001547,2228.251511299459,2316.3415957501,2639.843015909437,350.12839591963797,0.19197794277765318,777.157461909328,1459.5568191444424,1873.2435958999304,1920.7427368798653,34.51822386665905,52.093204900165794,58.397030749792975,1.8967933777680122,3.887025950280075,6.741580310399513,181.72174137078073,538.0977769995297,699.0454173196856
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr4_c16_pin__rep1__n90,1,end-to-end,8,1,1,2,1,4,32,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr4_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,32,90,17.404254658000355,5.171149340694631,0.18512153653813304,0.14288239084918913,0.7014380452822833,0.14710060371023295,0.14293063178554277,5.171149340694631,1.147075621607899,153.0000166775908,1.9442816014624105,1.3961305671816133,5401.856632677694,6080.741570499413,1425.6426590000046,6998.7630670002545,6750.196083500123,6798.068633150251,6996.400893969521,1530.4341083624943,0.28331631371043253,915.6593234701086,1508.887162988857,1961.302783499923,2093.9325396594904,51.53304136669653,80.55076799982999,82.47316054052135,2.1726151666067985,4.2378605500744015,5.937187170075048,179.1947625617999,514.3287882001456,716.265386280248
30_e2e_runners,30_e2e_runners__end-to-end__r8_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,2,1,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r8_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.439636381000128,5.1606580569565,0.31543422296075146,0.2626440216175206,0.7991906257675603,0.26689102498063977,0.26372858349530126,5.1606580569565,1.189284040826773,202.9372323408145,1.9361678873529817,1.45917264649606,3170.2330540222547,3358.8516990002972,1251.2659280000662,3807.4348459995235,3673.0822553997314,3746.8476134502453,3791.7770866797855,557.5314025516781,0.17586448474010652,432.92538767948827,1502.965834600016,1884.852170199838,1931.1614413096777,49.291271611057,75.44029275004505,81.43036730966742,2.6920828333358156,5.871021750181169,11.570241689323664,181.88607724719435,516.484136800318,685.3198642404103
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr2_c16_nopin__rep1__n90,1,end-to-end,8,1,1,2,1,2,16,16,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr2_c16_nopin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.444384166000418,5.1592534963436805,0.31388255382345437,0.22692166331721633,0.6672403933189773,0.2515105393767988,0.22951194428106433,5.1592534963436805,0.9572838337891032,329.4234069026463,1.5300639023142604,1.2681856252459398,3185.905007522201,3201.249778500369,1498.7102249997406,4406.807112999559,3832.732650399612,3975.976523599502,4357.071712029865,574.4869919076676,0.18032144415833287,1155.8219335294962,1521.7417202222555,1700.6817571999818,1912.6658002701515,62.66774505557906,97.29690149983978,109.03735393993884,3.2918567666557568,10.178876050031246,14.319991819811548,179.04863486517038,653.5674741999172,788.5280987994715
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre8_post1_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,8,1,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre8_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.80175525999948,5.055681233986508,0.23511510390393656,0.17379546782175667,0.7508221307113353,0.1868099586705938,0.18302722461696397,5.055681233986508,1.0178251960687232,682.783544838219,1.8218353088232477,1.349823163941445,4253.235897633273,4450.104714499503,1331.8733680007426,5753.889974999765,5274.065382199751,5353.033677199846,5463.668053169586,968.7512584615391,0.22776805279025408,1013.5633386700829,1549.6502264443634,1992.7048196498163,2049.4656290099283,61.38116286662504,132.94769245012503,147.87957720965096,2.1336382888572794,4.0608336502828015,5.638233930048955,185.00205977527636,548.8970353999318,740.8377828396636
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre1_post1_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,1,1,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre1_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.813983121999627,5.052210916763093,0.3232403784168028,0.23599283451462794,0.6537917578436545,0.2727308249111272,0.23711036212396655,5.052210916763093,0.8642850273460164,827.0730796278726,1.6599208010962978,0.9932471018707174,3093.672903422197,3179.915843999879,1529.5390130004307,4237.416793000193,3458.7821371998875,3666.6189101501914,4217.4453745601295,507.576353507483,0.16406917258317968,1037.5295305602504,1549.2556519888747,1752.6887730497947,1892.9973372701443,35.9788043999793,49.1682336998565,56.92476538940355,1.709149322252617,3.920038100068268,5.442852760133974,182.90551162920494,602.4383809995924,1006.7988097992574
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre2_post4_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,2,4,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre2_post4_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.84828892400037,5.042500173726912,0.30431837997661754,0.22239346044240826,0.611479145869312,0.23239471183693267,0.22779564441591613,5.042500173726912,0.7365089013488338,7003.38965427545,1.178621865715846,0.8760899064469866,3286.0322142778086,3312.4859614999878,1635.378748000221,4496.5350959992065,4070.352459700007,4303.023903150097,4389.899563549907,599.5280209864717,0.1824473960971906,1077.413602049919,1560.870001866675,1761.910325449844,1822.4431354600256,48.525228455562484,72.84580570012622,75.24044438991041,2.7611889889057135,10.597551549926711,21.77011599068464,181.8338882471886,848.448538999946,1141.4353625594606
30_e2e_runners,30_e2e_runners__end-to-end__r4_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,4,1,1,2,1,2,8,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r4_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,4,8,90,17.88908545600043,5.031000618861253,0.5301142818064378,0.4238498819677618,1.337849703443551,0.45185002534296104,0.4279464195779352,5.031000618861253,1.7037163322798137,152.78831805664421,2.083107035868082,1.8395911197098114,1886.3856989333726,1919.2240830002447,747.4681180001426,2359.3258900000365,2154.1586327002733,2213.123700150254,2336.741129850452,272.62576770549606,0.14452281304912779,417.5170468502074,788.5708440000395,1094.2160437994517,1141.6244567596368,25.178475888919316,36.38501474988515,41.194813480024095,1.180732288826726,2.090114999555226,2.3064713801886683,192.60156742696515,480.05214460008557,543.5990581199078
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,2,1,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.8997545229995,5.028001913901024,0.3055651807722675,0.2544161955016166,0.8068602726654135,0.2621636456097845,0.2576175674660269,5.028001913901024,0.905422511589722,207.0225785114522,1.4519917581791237,0.9799539743628541,3272.6241827444433,3494.1474330003075,1239.3719629999396,3930.5673839999145,3760.6310762005705,3814.4114057997285,3881.722857009254,575.9707742327153,0.17599661374796252,387.57542400894636,1555.1462125111254,1948.6945242002548,2010.9326703092302,53.17125337772571,80.61768229972586,87.93333416056157,2.656984488941008,6.94615045017599,7.687977679806863,187.18801808988113,688.7091434004103,1020.4560889200734
40_e2e_refine,40_e2e_refine__end-to-end__r8_i1_pre4_post1_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,4,1,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/40_e2e_refine__end-to-end__r8_i1_pre4_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.936075446999894,5.017820105961586,0.2769701244115,0.21283093473119793,0.7840126474164384,0.2270487217520577,0.21968610785941955,5.017820105961586,1.296664365281795,203.62074331744992,1.8872910680088684,1.3283787623075847,3610.497710266686,3777.2612239996306,1275.4896279993773,4698.565089999647,4278.605271800279,4404.341025500344,4551.949186700122,684.600073007665,0.18961376739305494,774.687962700491,1550.7654519778043,1980.2673388997846,2107.2359484594745,48.390789200008534,80.12916480001876,118.5946845998933,2.5177845667005587,5.0439156495485795,9.073187539916029,187.14808546067954,529.8599759998975,752.7973409201878
