metrica,documentacao,cpu_fp32,delta_abs,delta_pct
precision,0.8926633744491441,0.8926633744491441,0.0,0.0
recall,0.9208031614774882,0.9208031614774882,0.0,0.0
f1,0.9065149436660894,0.9065149436660894,0.0,0.0
iou,0.8290144784468575,0.8290144784468575,0.0,0.0
accuracy,0.996476067437066,0.996476067437066,0.0,0.0
