id,max_diff_logits,mean_diff_logits,max_diff_prob,pixels_float_pte_diferentes,float_accuracy,float_precision,float_recall,float_f1,float_iou,pte_accuracy,pte_precision,pte_recall,pte_f1,pte_iou
ang20191018t144405_r2674_c436_w151_h151,0.000308990478515625,9.307838809036184e-06,2.4437904357910156e-06,0,0.993896484375,0.7869930580928023,0.6792809839167455,0.7291807718348002,0.5737879595098562,0.993896484375,0.7869930580928023,0.6792809839167455,0.7291807718348002,0.5737879595098562
ang20191018t163108_r14851_c525_w151_h151,0.00024509429931640625,9.579093784850556e-06,1.3113021850585938e-06,0,0.997772216796875,0.8911525029103609,0.9358190709046454,0.9129397734048896,0.8398244651673067,0.997772216796875,0.8911525029103609,0.9358190709046454,0.9129397734048896,0.8398244651673067
ang20191018t141549_r3900_c244_w151_h151,4.57763671875e-05,2.8363585897750454e-06,7.450580596923828e-07,0,0.9987945556640625,1.0,0.12222222222222222,0.21782178217821782,0.12222222222222222,0.9987945556640625,1.0,0.12222222222222222,0.21782178217821782,0.12222222222222222
ang20191025t165545_r6573_c24_w151_h151,0.00017452239990234375,8.331873686984181e-06,1.6093254089355469e-06,0,0.9948577880859375,0.858850086309919,0.9577965348733896,0.905628675441053,0.8275332650972365,0.9948577880859375,0.858850086309919,0.9577965348733896,0.905628675441053,0.8275332650972365
ang20191018t190719_r2696_c420_w151_h151,8.678436279296875e-05,5.992311344016343e-06,1.430511474609375e-06,0,0.9955673217773438,0.8698388721047331,0.8426829268292683,0.8560455896927651,0.7483214208360407,0.9955673217773438,0.8698388721047331,0.8426829268292683,0.8560455896927651,0.7483214208360407
ang20191021t191828_r4300_c359_w151_h151,0.0002918243408203125,1.034068554872647e-05,1.9669532775878906e-06,0,0.9961204528808594,0.9134538950715422,0.984366634543313,0.9475854249342885,0.9003917727717924,0.9961204528808594,0.9134538950715422,0.984366634543313,0.9475854249342885,0.9003917727717924
ang20191018t181457_r4349_c389_w151_h151,0.00046539306640625,1.2214046364533715e-05,1.817941665649414e-06,0,0.9982528686523438,0.6950354609929078,0.9722222222222222,0.8105872622001654,0.6815020862308763,0.9982528686523438,0.6950354609929078,0.9722222222222222,0.8105872622001654,0.6815020862308763
ang20191018t165503_r2660_c460_w151_h151,0.000171661376953125,7.328326319111511e-06,4.798173904418945e-06,0,0.9952583312988281,0.9406588765310432,0.9709365690619778,0.9555579391469127,0.9148979871285773,0.9952583312988281,0.9406588765310432,0.9709365690619778,0.9555579391469127,0.9148979871285773
ang20191018t190719_r1941_c33_w151_h151,0.00014781951904296875,8.266021723102313e-06,1.5795230865478516e-06,0,0.9977645874023438,0.9055207740466704,0.791148682247638,0.8444798301486199,0.7308222324299495,0.9977645874023438,0.9055207740466704,0.791148682247638,0.8444798301486199,0.7308222324299495
