id,pixels_reais,pixels_previstos,TP,FP,FN,TN,precision,recall,f1,iou,accuracy,prob_min,prob_max
ang20191018t144405_r2674_c436_w151_h151,3171,2737,2154,583,1017,258390,0.7869930580928023,0.6792809839167455,0.7291807718348003,0.5737879595098562,0.993896484375,2.9822084130432884e-20,0.9979161620140076
ang20191018t163108_r14851_c525_w151_h151,3272,3436,3062,374,210,258498,0.8911525029103609,0.9358190709046454,0.9129397734048897,0.8398244651673067,0.997772216796875,3.245520443107691e-13,0.9995375871658325
ang20191018t141549_r3900_c244_w151_h151,360,44,44,0,316,261784,1.0,0.12222222222222222,0.21782178217821782,0.12222222222222222,0.9987945556640625,4.107091555738407e-09,0.6704099178314209
ang20191025t165545_r6573_c24_w151_h151,6753,7531,6468,1063,285,254328,0.858850086309919,0.9577965348733896,0.905628675441053,0.8275332650972365,0.9948577880859375,4.4491542394720085e-11,0.999972939491272
ang20191018t190719_r2696_c420_w151_h151,4100,3972,3455,517,645,257527,0.8698388721047331,0.8426829268292683,0.856045589692765,0.7483214208360407,0.9955673217773438,3.684816259627924e-14,0.9997166991233826
ang20191021t191828_r4300_c359_w151_h151,9339,10064,9193,871,146,251934,0.9134538950715422,0.984366634543313,0.9475854249342885,0.9003917727717924,0.9961204528808594,6.676854381881814e-12,0.9999010562896729
ang20191018t181457_r4349_c389_w151_h151,1008,1410,980,430,28,260706,0.6950354609929078,0.9722222222222222,0.8105872622001654,0.6815020862308763,0.9982528686523438,5.3814959433129417e-11,0.9999074935913086
ang20191018t165503_r2660_c460_w151_h151,13763,14206,13363,843,400,247538,0.9406588765310432,0.9709365690619778,0.9555579391469127,0.9148979871285773,0.9952583312988281,5.796549438358278e-12,0.9999843835830688
ang20191018t190719_r1941_c33_w151_h151,2011,1757,1591,166,420,259967,0.9055207740466704,0.791148682247638,0.8444798301486198,0.7308222324299495,0.9977645874023438,2.1243768958617104e-16,0.9998961687088013
