id,has_plume,TP,FP,FN,TN,precision,recall,f1,iou,accuracy
ang20191018t144405_r2674_c436_w151_h151,TRUE,2154,583,1017,258390,0.786993058093,0.679280983917,0.729180771835,0.57378795951,0.993896484375
ang20191018t163108_r14851_c525_w151_h151,TRUE,3062,374,210,258498,0.89115250291,0.935819070905,0.912939773405,0.839824465167,0.997772216797
ang20191018t141549_r3900_c244_w151_h151,TRUE,44,0,316,261784,1,0.122222222222,0.217821782178,0.122222222222,0.998794555664
ang20191025t165545_r6573_c24_w151_h151,TRUE,6468,1063,285,254328,0.85885008631,0.957796534873,0.905628675441,0.827533265097,0.994857788086
ang20191018t190719_r2696_c420_w151_h151,TRUE,3455,517,645,257527,0.869838872105,0.842682926829,0.856045589693,0.748321420836,0.995567321777
ang20191021t191828_r4300_c359_w151_h151,TRUE,9193,871,146,251934,0.913453895072,0.984366634543,0.947585424934,0.900391772772,0.996120452881
ang20191018t181457_r4349_c389_w151_h151,TRUE,980,430,28,260706,0.695035460993,0.972222222222,0.8105872622,0.681502086231,0.998252868652
ang20191018t165503_r2660_c460_w151_h151,TRUE,13363,843,400,247538,0.940658876531,0.970936569062,0.955557939147,0.914897987129,0.995258331299
ang20191018t190719_r1941_c33_w151_h151,TRUE,1591,166,420,259967,0.905520774047,0.791148682248,0.844479830149,0.73082223243,0.997764587402
