stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,throughput_fps,latency_mean_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,status,result_dir
60_final_c2,60_final_c2__max_e2e__r3_pre4_post16_spr5_pin__rep1__n500,1,max-e2e,3,4,16,5,15,true,500,21.7088305611,262.85875258,319.0874515,336.8955688,44.53239232,182.6558363,31.1082788,136.02838596,23.03210201,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c2__max_e2e__r3_pre4_post16_spr5_pin__rep1__n500"
60_final_c2,60_final_c2__max_e2e__r3_pre4_post16_spr5_pin__rep3__n500,3,max-e2e,3,4,16,5,15,true,500,21.6755480512,262.11135726,312.1683325,337.5443635,44.32206198,183.070223,30.49229614,137.2644465,23.06746749,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c2__max_e2e__r3_pre4_post16_spr5_pin__rep3__n500"
60_final_c2,60_final_c2__max_e2e__r3_pre4_post16_spr5_pin__rep2__n500,2,max-e2e,3,4,16,5,15,true,500,21.6358610776,262.18924004,314.108783,343.5884837,43.49531288,183.4391567,31.29106528,136.68634538,23.10978048,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c2__max_e2e__r3_pre4_post16_spr5_pin__rep2__n500"
60_final_c1,60_final_c1__max_e2e__r3_pre4_post16_spr5_nopin__rep2__n500,2,max-e2e,3,4,16,5,15,false,500,21.4535769363,265.29605016,326.544621,360.0839655,45.14942114,184.98456164,30.91301666,139.22551032,23.30613685,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c1__max_e2e__r3_pre4_post16_spr5_nopin__rep2__n500"
60_final_c3,60_final_c3__max_e2e__r4_pre4_post8_spr2_nopin__rep3__n500,3,max-e2e,4,4,8,2,8,false,500,21.1706066699,263.94061876,316.668909,353.1821513,45.0796108,187.20155134,29.73912822,140.31812516,23.61765101,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c3__max_e2e__r4_pre4_post8_spr2_nopin__rep3__n500"
60_final_c3,60_final_c3__max_e2e__r4_pre4_post8_spr2_nopin__rep1__n500,1,max-e2e,4,4,8,2,8,false,500,21.1677573337,264.94043546,324.974532,361.439412,45.36518902,187.5640144,29.95682184,140.37539798,23.62083012,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c3__max_e2e__r4_pre4_post8_spr2_nopin__rep1__n500"
60_final_c1,60_final_c1__max_e2e__r3_pre4_post16_spr5_nopin__rep3__n500,3,max-e2e,3,4,16,5,15,false,500,21.1339441845,265.32636282,321.0654135,350.8456266,44.4597627,187.7715369,29.88309462,141.83682592,23.65862215,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c1__max_e2e__r3_pre4_post16_spr5_nopin__rep3__n500"
60_final_c1,60_final_c1__max_e2e__r3_pre4_post16_spr5_nopin__rep1__n500,1,max-e2e,3,4,16,5,15,false,500,21.0031976747,269.17879266,328.742818,380.6955042,44.75985798,189.0051046,30.68004544,142.29494828,23.80589888,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c1__max_e2e__r3_pre4_post16_spr5_nopin__rep1__n500"
60_final_c3,60_final_c3__max_e2e__r4_pre4_post8_spr2_nopin__rep2__n500,2,max-e2e,4,4,8,2,8,false,500,20.9890657382,263.9404117,334.632056,381.1689381,42.85248274,189.1213263,29.23948164,142.12207312,23.82192739,ok,"/home/root/hyperstarcop_sweep_results/runs/60_final_c3__max_e2e__r4_pre4_post8_spr2_nopin__rep2__n500"
