metrica,documentacao,zcu104,delta_abs,delta_pct
precision,0.892663374449,0.909763891763,0.0171005173135,1.9156736798
recall,0.920803161477,0.903944993947,-0.0168581675309,-1.8308112131
f1,0.906514943666,0.906845108509,0.000330164842745,0.0364213348111
iou,0.829014478447,0.82956689447,0.000552416022976,0.0666352684227
accuracy,0.996476067437,0.996554056803,7.79893663194e-05,0.00782651674917
