id,TP_fp32,FP_fp32,FN_fp32,TN_fp32,precision_fp32,recall_fp32,f1_fp32,iou_fp32,TP_int8,FP_int8,FN_int8,TN_int8,precision_int8,recall_int8,f1_int8,iou_int8,pixels_fp32_int8_diferentes,max_diff_logits,mean_diff_logits,max_diff_prob
ang20191018t165503_r1024_c0_w512_h512,0,2740,0,259404,0.0,0.0,0.0,0.0,0,2910,0,259234,0.0,0.0,0.0,0.0,2264,23.64913558959961,0.6843611598014832,0.670383095741272
ang20191018t165503_r12288_c0_w512_h512,0,10,0,262134,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,10,32.06079864501953,1.1545114517211914,0.2663672864437103
ang20191018t172239_r1024_c0_w512_h512,0,16,0,262128,0.0,0.0,0.0,0.0,0,68,0,262076,0.0,0.0,0.0,0.0,52,34.044525146484375,0.7799649834632874,0.43262290954589844
ang20191018t172239_r16384_c0_w512_h512,0,168,0,261976,0.0,0.0,0.0,0.0,0,115,0,262029,0.0,0.0,0.0,0.0,155,11.881092071533203,0.9767921566963196,0.42297613620758057
ang20191018t172239_r11264_c0_w512_h512,0,1,0,262143,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,1,12.002727508544922,1.2727817296981812,0.10433626174926758
ang20191018t172239_r20224_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,9.17957878112793,1.0461111068725586,0.4359807074069977
ang20191018t174629_r512_c0_w512_h512,0,4105,0,258039,0.0,0.0,0.0,0.0,0,3240,0,258904,0.0,0.0,0.0,0.0,1241,7.147913932800293,0.5741203427314758,0.6725401282310486
ang20191018t174629_r0_c0_w512_h512,0,319,0,261825,0.0,0.0,0.0,0.0,0,308,0,261836,0.0,0.0,0.0,0.0,71,38.095542907714844,0.7100200653076172,0.254356324672699
ang20191018t174629_r19200_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,9.477738380432129,0.876653254032135,0.004429367370903492
ang20191018t174629_r18432_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,12.741036415100098,1.1969120502471924,0.035194799304008484
ang20191018t181457_r256_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,22.32033920288086,7.449382781982422,0.07996968924999237
ang20191018t181457_r1536_c0_w512_h512,0,99,0,262045,0.0,0.0,0.0,0.0,0,207,0,261937,0.0,0.0,0.0,0.0,120,9.634737014770508,0.8830736875534058,0.6229833364486694
ang20191018t181457_r5632_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,12.45580005645752,1.0923759937286377,0.0347956120967865
ang20191018t181457_r2816_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,20.524070739746094,1.8458762168884277,0.1308172196149826
ang20191018t183859_r2048_c0_w512_h512,0,5102,0,257042,0.0,0.0,0.0,0.0,0,4723,0,257421,0.0,0.0,0.0,0.0,379,24.28827667236328,0.7089226245880127,0.5720384120941162
ang20191018t183859_r256_c0_w512_h512,0,1182,0,260962,0.0,0.0,0.0,0.0,0,1040,0,261104,0.0,0.0,0.0,0.0,144,39.904022216796875,1.1247249841690063,0.36581793427467346
ang20191018t183859_r6912_c0_w512_h512,0,38,0,262106,0.0,0.0,0.0,0.0,0,47,0,262097,0.0,0.0,0.0,0.0,9,19.54095458984375,1.2901580333709717,0.2990294396877289
