id,has_plume,pixels_reais,pixels_previstos,TP,FP,FN,TN,precision,recall,f1,iou,accuracy,prob_min,prob_max
ang20191018t144405_r2674_c436_w151_h151,TRUE,3171,2621,2172,449,999,258524,0.828691339184,0.684957426679,0.75,0.6,0.994476318359,2.08796789401e-14,0.998830497265
ang20191018t163108_r14851_c525_w151_h151,TRUE,3272,3151,2893,258,379,258614,0.918121231355,0.884168704156,0.900825159583,0.81954674221,0.997570037842,1.13999185525e-12,0.999796569347
ang20191018t141549_r3900_c244_w151_h151,TRUE,360,432,271,161,89,261623,0.627314814815,0.752777777778,0.684343434343,0.520153550864,0.999046325684,5.60279644901e-09,0.880797028542
ang20191025t165545_r6573_c24_w151_h151,TRUE,6753,7239,6330,909,423,254482,0.874430169913,0.937361172812,0.904802744425,0.826155050901,0.994918823242,2.28973489474e-11,0.999954581261
ang20191018t190719_r2696_c420_w151_h151,TRUE,4100,3427,3214,213,886,257831,0.937846512985,0.783902439024,0.853992294407,0.745188963598,0.995807647705,3.09881937818e-12,0.999841570854
ang20191021t191828_r4300_c359_w151_h151,TRUE,9339,9925,9157,768,182,252037,0.922619647355,0.980511832102,0.950685215947,0.906005738597,0.996376037598,2.94007769519e-11,0.999941706657
ang20191018t181457_r4349_c389_w151_h151,TRUE,1008,1337,970,367,38,260769,0.725504861631,0.962301587302,0.827292110874,0.705454545455,0.998455047607,7.99195987167e-11,0.999738752842
ang20191018t165503_r2660_c460_w151_h151,TRUE,13763,14024,13288,736,475,247645,0.947518539646,0.965487175761,0.956418469068,0.916476998414,0.995380401611,2.94007769519e-11,0.999954581261
ang20191018t190719_r1941_c33_w151_h151,TRUE,2011,1341,1277,64,734,260069,0.952274422073,0.635007458976,0.761933174224,0.615421686747,0.996955871582,1.26641657773e-14,0.999089002609
